,station,filename,colnum,colnames,nrows
0,Aeropuerto,Aeropuerto_5min_20130624.csv,5,"[[array(['TB1minAcc', 'RHAvg', 'ATAvg'], dtype=object)]]",28527
1,Aeropuerto,8310_5min_20180116.csv,5,"[[array(['BAT', 'TB1hrAcc', 'RelHumidAvg', 'RelHumidMin', 'RelHumidMax',
       'AT1HrAvg', 'AT1HrMin', 'AT1HrMax', 'WindMnSpdSclr',
       'WindMnDirUnit', 'WindMinSpdSclr', 'WindMaxSpdSclr', 'WindMaxDir',
       None], dtype=object)]]",14366
2,Aeropuerto,8310_1min_20170404.csv,5,"[[array(['RHAvg', 'ATAvg', 'WSAvg', 'WDAvg', 'TB1minAcc'], dtype=object)]]",29144
3,Aeropuerto,8310_5min_20150714_subir.csv,5,"[[array(['WD5minMax', 'WS5minAvg', 'WS5minMin', 'WS5minMax', 'TB5minAcc',
       'AT5minAvg', 'AT5minMin', 'AT5minMax', 'RH5minAvg', 'RH5minMin',
       'RH5minMax', 'WD5minAvg', 'WD5minMin', None], dtype=object)]]",21546
4,Aeropuerto,8310_5min_20180116_subir.csv,5,"[[array(['TB5minAcc', 'AT5minAvg', 'AT5minMin', 'AT5minMax', 'RH5minAvg',
       'RH5minMin', 'RH5minMax', 'WD5minAvg', 'WS5minAvg', 'WD5minMin',
       'WS5minMin', 'WD5minMax', 'WS5minMax', None], dtype=object)]]",168975
5,Aeropuerto,8310_5min_20171025_subir.csv,5,"[[array(['TB1minAcc', 'ATAvg', 'RHAvg', 'WDAvg', 'WSAvg'], dtype=object)]]",324930
6,Aeropuerto,8310_5min_20150714.csv,5,"[[array(['RHAvg', 'TB1minAcc', 'ATAvg', 'WSAvg', 'WDAvg'], dtype=object)]]",296400
7,Aeropuerto,8310_5min_20170118.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WS5minAvg', 'WS5minMin', 'WS5minMax',
       'WD5minAvg', 'WD5minMin', 'WD5minMax', None], dtype=object)]]",154129
8,Aeropuerto,8310_5min_20170118_subir.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WD5minAvg', 'WS5minAvg', 'WS5minMin',
       'WD5minMin', 'WS5minMax', 'WD5minMax', None], dtype=object)]]",99945
9,Aeropuerto,8310_5min_20171025.csv,5,"[[array(['TB1minAcc', 'ATAvg', 'RHAvg', 'WSAvg', 'WDAvg'], dtype=object)]]",192210
10,Aeropuerto,8310_1min_20180116.csv,5,"[[array(['TB1minAcc', 'ATAvg', 'RHAvg', 'WDAvg', 'WSAvg'], dtype=object)]]",245840
11,Aeropuerto,Aeropuerto_5min_20140114.csv,5,"[[array(['TB5minAcc', 'AT5minAvg', 'AT5minMin', 'AT5minMax', 'RH5minAvg',
       'RH5minMin', 'RH5minMax', 'WD5minAvg', 'WD5minMin', 'WS5minAvg',
       'WS5minMin', 'WS5minMax', 'WD5minMax', None], dtype=object)]]",127843
12,Aeropuerto,8310_1min_20170412.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WD5minAvg', 'WD5minMin', 'WS5minAvg',
       'WS5minMin', 'WD5minMax', 'WS5minMax', None], dtype=object)]]",377937
13,Aeropuerto,8310_1min_20171025.csv,5,"[[array(['TB1minAcc', 'RHAvg', 'ATAvg', 'WSAvg', 'WDAvg'], dtype=object)]]",726801
14,Aeropuerto,8310_5min_20150714.xls,5,"[[array(['RHAvg', 'WSAvg', 'WDAvg', 'TB1minAcc', 'ATAvg'], dtype=object)]]",638506
15,Aeropuerto,8310_5min_20171107_subir.csv,5,"[[array(['TB5minAcc', 'AT5minAvg', 'AT5minMin', 'AT5minMax', 'RH5minAvg',
       'RH5minMin', 'RH5minMax', 'WS5minAvg', 'WD5minAvg', 'WS5minMin',
       'WD5minMin', 'WS5minMax', 'WD5minMax', None], dtype=object)]]",332606
16,Aeropuerto,8310_1min_20170406.csv,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",30293
17,Aeropuerto,Aeropuerto_5min_20130624.xls,5,"[[array(['TB1minAcc', 'ATAvg', 'RHAvg', 'WSAvg', 'WDAvg'], dtype=object)]]",757315
18,Aeropuerto,Aeropuerto_5min_20130828.csv,5,"[[array(['TB1minAcc', 'RHAvg', 'ATAvg', 'WDAvg', 'WSAvg'], dtype=object)]]",59715
19,Aeropuerto,8310_5min_20160929_subir.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WD5minAvg', 'WD5minMin', 'WS5minAvg',
       'WS5minMin', 'WS5minMax', 'WD5minMax', None], dtype=object)]]",393810
20,Aeropuerto,8310_1min_20170405.csv,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",35670
21,Aeropuerto,8310_5min_20171107.csv,5,"[[array(['TB1minAcc', 'RHAvg', 'ATAvg', 'WDAvg', 'WSAvg'], dtype=object)]]",891750
22,Aeropuerto,8310_5min_20180116.xls,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WS5minAvg', 'WS5minMin', 'WD5minAvg',
       'WD5minMin', 'WD5minMax', 'WS5minMax', None], dtype=object)]]",463711
23,Aeropuerto,Aeropuerto_1hora_Todo.xls,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",21005
24,Aeropuerto,8310_1min_20171107.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WD5minAvg', 'WD5minMin', 'WD5minMax',
       'WS5minAvg', 'WS5minMin', 'WS5minMax', None], dtype=object)]]",273053
25,Aeropuerto,Aeropuerto_5min_20130828.xls,5,"[[array(['TB1minAcc', 'ATAvg', 'RHAvg', 'WDAvg', 'WSAvg'], dtype=object)]]",525115
26,Aeropuerto,8310_5min_20171107.xls,5,"[[array(['WSAvg', 'TB1minAcc', 'RHAvg', 'WDAvg', 'ATAvg'], dtype=object)]]",583421
27,Aeropuerto,8310_5min_20160929.csv,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",23337
28,Aeropuerto,8310_1min_201711071_subir.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WS5minAvg', 'WS5minMin', 'WS5minMax',
       'WD5minAvg', 'WD5minMin', 'WD5minMax', None], dtype=object)]]",303370
29,Aeropuerto,8310_5min_20171025.xls,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",19007
30,Aeropuerto,8310_1min_20170407.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WS5minAvg', 'WS5minMin', 'WD5minAvg',
       'WD5minMin', 'WD5minMax', 'WS5minMax', None], dtype=object)]]",247092
31,Aeropuerto,8310_5min_20170118.xls,5,"[[array(['TB1minAcc', 'RHAvg', 'ATAvg', 'WDAvg', 'WSAvg'], dtype=object)]]",475181
32,Aeropuerto,Aeropuerto_5min_20140416.csv,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",33973
33,Aeropuerto,8310_1min_20160919.csv,5,"[[array(['TB1minAcc', 'RHAvg', 'ATAvg', 'WDAvg', 'WSAvg'], dtype=object)]]",849320
34,Aeropuerto,8310_1min_20171107.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WS5minAvg', 'WS5minMin', 'WS5minMax',
       'WD5minAvg', 'WD5minMin', 'WD5minMax', None], dtype=object)]]",441650
35,Aeropuerto,8310_1min_20180920.csv,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",21701
36,Aeropuerto,8310_5min_2018121.csv,5,"[[array(['TB5minAcc', 'AT5minAvg', 'AT5minMin', 'AT5minMax', 'RH5minAvg',
       'RH5minMin', 'RH5minMax', 'WS5minAvg', 'WS5minMin', 'WD5minAvg',
       'WD5minMin', 'WD5minMax', 'WS5minMax', None], dtype=object)]]",282089
37,Aeropuerto,2018-09-20.csv,5,"[[array(['TB1minAcc', 'RHAvg', 'ATAvg', 'WSAvg', 'WDAvg'], dtype=object)]]",542490
38,Aeropuerto,Aeropuerto_5min_20140114.xls,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",26397
39,Aeropuerto,2017-10-30.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WS5minAvg', 'WS5minMin', 'WS5minMax',
       'WD5minAvg', 'WD5minMin', 'WD5minMax', None], dtype=object)]]",343123
40,Aeropuerto,8310_1min_20170118.csv,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",38384
41,Aeropuerto,8310_5min_20180920.csv,5,"[[array(['TB5minAcc', 'AT5minAvg', 'AT5minMin', 'AT5minMax', 'RH5minAvg',
       'RH5minMin', 'RH5minMax', 'WS5minAvg', 'WD5minAvg', 'WD5minMin',
       'WD5minMax', 'WS5minMin', 'WS5minMax', None], dtype=object)]]",499027
42,Aeropuerto,8310_1min_2018121.csv,5,"[[array(['TB1minAcc', 'RHAvg', 'WSAvg', 'WDAvg', 'ATAvg'], dtype=object)]]",959693
43,Aeropuerto,2015-07-02.csv,5,"[[array(['TB5minAcc', 'RH5minAvg', 'RH5minMin', 'RH5minMax', 'AT5minAvg',
       'AT5minMin', 'AT5minMax', 'WS5minAvg', 'WS5minMin', 'WD5minAvg',
       'WS5minMax', 'WD5minMin', 'WD5minMax', None], dtype=object)]]",360062
44,Aeropuerto,8310_5min_20160929.xls,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",27697
45,Aeropuerto,2017-10-01.csv,5,"[[array(['TB1minAcc', 'ATAvg', 'RHAvg', 'WDAvg', 'WSAvg'], dtype=object)]]",692420
46,Aeropuerto,2018-01-11.csv,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",65161
47,Aeropuerto,2020-01-09.csv,6,"[[Index(['Fecha', 'Temperatura', 'Humedad', 'Precipitacion', 'Direccion',
       'Velocidad'],
      dtype='object')]]",62495
48,Aeropuerto,2017-01-12.csv,5,"[[array(['RHAvg', 'WDAvg', 'WSAvg', 'TB1minAcc', 'ATAvg'], dtype=object)]]",638271
49,Aeropuerto,2017-10-10.csv,5,"[[array(['RHAvg', 'WDAvg', 'WSAvg', 'TB1minAcc', 'ATAvg'], dtype=object)]]",325796
50,Aeropuerto,Aeropuerto_5min_20140416.xls,5,"[[array(['TB1minAcc', 'ATAvg', 'RHAvg', 'WSAvg', 'WDAvg'], dtype=object)]]",312475
